case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070807070578,,,,,2147527.139517,2,1.0,,,5,0,0,1.0,,1.0,,0,0,4,,2007
20070807070579,1.0,5.0,71.0,,1562103.634516,0,1.0,1.0,1.0,0,0,20,0.0,190.0,0.0,26.5,0,0,,,2007
20070807070586,0.0,4.0,70.0,,13355617.10317,0,1.0,3.0,3.0,10,740,120,1.0,220.0,1.0,31.6,0,1,"3,4,5,6,7,8,9,10,10,11,12,14,15",,2007
20070807070587,0.0,5.0,64.0,,1419090.172052,0,1.0,1.0,1.0,0,0,90,0.0,190.0,0.0,32.6,0,0,,,2007
20070807070590,0.0,3.0,77.0,1.0,4912726.136919,0,2.0,3.0,3.0,0,0,90,0.0,170.0,0.0,20.2,0,0,,,2007
20070807070591,0.0,3.0,62.0,2.0,7829929.155445,3,2.0,1.0,1.0,45,95,23,1.0,130.0,1.0,23.8,0,0,"15,16,17,18,20,24",,2007
20070807070592,0.0,5.0,66.0,,6370864.971486,0,1.0,1.0,1.0,15,0,65,0.0,145.0,1.0,23.4,0,0,"5,7",,2007
20070807070597,0.0,4.0,69.0,,9812419.603039999,1,,2.0,2.0,15,860,10,1.0,180.0,1.0,26.6,0,1,"2,3,4,5,6,7,8,9,9,10,11,12,13,15,16",,2007
20070807070610,1.0,5.0,75.0,2.0,7555958.516238,2,2.0,1.0,2.0,2,0,13,0.0,185.0,1.0,23.1,0,0,20,,2007
20070807070613,1.0,4.0,76.0,2.0,2656221.6953970003,1,2.0,1.0,1.0,0,0,182,0.0,218.0,0.0,26.5,0,0,,,2007
20070807070619,0.0,1.0,62.0,2.0,9633881.573386999,0,2.0,2.0,1.0,0,0,45,0.0,141.0,0.0,25.8,0,0,,,2007
20070807070624,0.0,2.0,64.0,,1632765.58635,0,1.0,1.0,1.0,0,0,20,0.0,154.0,0.0,26.4,0,0,,,2007
20070807070627,0.0,3.0,73.0,,3516126.570806,1,1.0,3.0,2.0,10,0,15,0.0,205.0,1.0,27.0,0,0,15,1.0,2007
20070807070631,0.0,3.0,70.0,,2838823.346416,0,1.0,1.0,1.0,15,15,20,1.0,200.0,1.0,28.7,0,0,"11,11",,2007
20070807070634,0.0,5.0,67.0,,3555431.910735,1,1.0,3.0,3.0,0,240,0,1.0,210.0,1.0,32.9,0,0,12,,2007
20070807070647,0.0,4.0,64.0,,2552086.92719,1,1.0,1.0,1.0,5,20,120,1.0,103.0,1.0,17.7,0,0,"3,4,15",,2007
20070807070658,0.0,3.0,65.0,2.0,2412695.323789,0,2.0,1.0,1.0,25,0,60,0.0,128.0,1.0,21.3,0,0,"7,9",,2007
20070807070659,0.0,5.0,63.0,,5524254.534416,2,1.0,1.0,1.0,75,30,15,1.0,113.0,1.0,20.0,0,0,"6,9",,2007
20070807070662,0.0,3.0,61.0,,4539403.709943,0,1.0,1.0,1.0,470,0,60,0.0,100.0,1.0,18.9,0,0,"5,7,9,10,11",,2007
20070807070665,0.0,4.0,67.0,,5850999.583614,0,1.0,1.0,1.0,0,0,40,0.0,170.0,0.0,26.6,0,0,,,2007
20070807070669,0.0,3.0,66.0,1.0,8087247.532086999,0,2.0,1.0,1.0,0,0,60,0.0,140.0,0.0,22.6,0,0,,,2007
20070807070672,0.0,3.0,70.0,,17743750.36072,1,1.0,3.0,3.0,22,85,0,1.0,260.0,1.0,37.3,0,0,"11,11,15,15",,2007
20070807070680,0.0,1.0,65.0,2.0,8051307.847484,0,2.0,3.0,3.0,0,0,90,0.0,143.0,0.0,23.8,0,0,,,2007
20070807070685,0.0,3.0,73.0,,4977678.797454,1,,3.0,3.0,20,20,15,1.0,150.0,1.0,19.8,0,0,"2,3",1.0,2007
20070807070693,0.0,5.0,67.0,,6658270.01376,0,1.0,1.0,1.0,0,0,90,0.0,127.0,0.0,19.9,0,0,,,2007
20070807070694,0.0,3.0,59.0,,8345847.635717999,0,1.0,1.0,1.0,930,20,30,1.0,140.0,1.0,28.3,1,0,"2,3,4,4,5,6,7,9",,2007
20070807070695,0.0,5.0,65.0,,6106807.529433999,0,1.0,1.0,1.0,10,0,105,0.0,138.0,1.0,23.0,0,0,8,,2007
20070807070711,0.0,2.0,68.0,,14153006.671901999,0,1.0,2.0,3.0,20,0,45,0.0,260.0,1.0,39.5,0,0,6,,2007
20070807070715,0.0,3.0,61.0,,2627681.744948,1,1.0,1.0,3.0,5,0,90,0.0,135.0,1.0,25.5,0,0,2,,2007
20070807070718,0.0,5.0,65.0,,2122426.1411900003,1,1.0,1.0,1.0,0,0,45,0.0,127.0,0.0,21.1,0,0,,,2007
20070807070726,0.0,4.0,66.0,,22841949.444043,0,1.0,3.0,3.0,5,11,85,1.0,160.0,1.0,25.8,0,0,"7,11,16",,2007
20070807070727,0.0,2.0,74.0,2.0,3066833.117083,0,2.0,1.0,1.0,80,15,29,1.0,209.0,1.0,26.8,0,0,"5,8,8,16",,2007
20070807070732,0.0,5.0,65.0,,4596262.719579,0,1.0,1.0,1.0,0,0,35,0.0,122.0,0.0,20.3,0,0,,,2007
20070807070734,0.0,2.0,64.0,,5871550.6726480005,0,,1.0,2.0,0,0,45,0.0,145.0,0.0,24.9,0,0,,,2007
20070807070737,0.0,2.0,75.0,,24690895.9305,0,1.0,2.0,1.0,0,0,75,0.0,270.0,0.0,33.7,0,0,,,2007
20070807070749,0.0,2.0,64.0,,4299980.734592,3,1.0,1.0,1.0,20,10,100,1.0,205.0,1.0,35.2,0,0,"20,24,28",,2007
20070807070751,0.0,3.0,72.0,,9453968.483687,0,1.0,3.0,3.0,30,35,20,1.0,240.0,1.0,32.5,0,0,"4,21,21",,2007
20070807070762,0.0,4.0,66.0,,8280259.557857,1,1.0,3.0,3.0,0,0,50,0.0,208.0,0.0,33.6,0,0,,,2007
